Inicial,Empleado_ID,Nombre,Tipo,Tipo_Empleado,Fecha,Fecha_Vinculacion,Sec_Vinculacion,num_sec,Tipo_Nomina,Sec_Detalle,Num_sec_deta,Centro,Centro_Costos,Oficio,Num_Oficio,Sec_Plaza,Num_Plaza,Sal,Salario,Concepto_1,Horas_1,Tipo_Mvto_1,Valor_1,Concepto_2,Horas_2,Tipo_Mvto_2,Valor_2,Valor_Total,Total_Horas,Tipo de concepto,Signo,Concepto,Total_empleado,ID,Devengados,Valor_dev,Deducciones,Valor_ded,Neto,Valor_neto
Empleado,124a0137311e6f534f05ac65d09e54f0b0d67c8f0b2b06c831680dea70398dc4,25de3cf20e29d8829581d2a6b30b58d5017f1d4f6e3081f237024af916bf5326,Tipo nómina,OPERA Operativos,Fecha vinculación,16/07/2009,Sec. vinculación,1,QUINC,Sec. detalle ,628,Centro,410 Colcafe,Oficio,003 EMPLEADOS,Sec. plaza,630,Salario,1017947.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,31811.0,6.0,NORMA,+,EXTRAS DIURNAS,Total empleado,10007177,Devengados, 31811.00,Deducciones, 0.00,Neto, 31811.00
Empleado,ba364f8bca70b8c20877179ab7a92ebb43aedb38cec8bab9991c2e274f1ffb95,7800df6dc0c7c80d93a11810996f7470b4217d2e7f8e84135bffffbea434abbd,Tipo nómina,ADMIN Administrativo,Fecha vinculación,01/09/2010,Sec. vinculación,17,QUINC,Sec. detalle ,488,Centro,409 Bodega Materia Prima,Oficio,003 EMPLEADOS,Sec. plaza,490,Salario,1049262.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,32789.0,6.0,NORMA,+,EXTRAS DIURNAS,Total empleado,1036392072,Devengados, 342759.00,Deducciones, 0.00,Neto, 342759.00
Empleado,ba364f8bca70b8c20877179ab7a92ebb43aedb38cec8bab9991c2e274f1ffb95,7800df6dc0c7c80d93a11810996f7470b4217d2e7f8e84135bffffbea434abbd,Tipo nómina,ADMIN Administrativo,Fecha vinculación,01/09/2010,Sec. vinculación,17,QUINC,Sec. detalle ,488,Centro,409 Bodega Materia Prima,Oficio,003 EMPLEADOS,Sec. plaza,490,Salario,1049262.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,22953.0,3.0,NORMA,+,EXTRA NOCTURNA,Total empleado,1036392072,Devengados, 342759.00,Deducciones, 0.00,Neto, 342759.00
Empleado,ba364f8bca70b8c20877179ab7a92ebb43aedb38cec8bab9991c2e274f1ffb95,7800df6dc0c7c80d93a11810996f7470b4217d2e7f8e84135bffffbea434abbd,Tipo nómina,ADMIN Administrativo,Fecha vinculación,01/09/2010,Sec. vinculación,17,QUINC,Sec. detalle ,488,Centro,409 Bodega Materia Prima,Oficio,003 EMPLEADOS,Sec. plaza,490,Salario,1049262.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,69951.0,8.0,NORMA,+,EXTRA FESTIVA DIURNA,Total empleado,1036392072,Devengados, 342759.00,Deducciones, 0.00,Neto, 342759.00
Empleado,ba364f8bca70b8c20877179ab7a92ebb43aedb38cec8bab9991c2e274f1ffb95,7800df6dc0c7c80d93a11810996f7470b4217d2e7f8e84135bffffbea434abbd,Tipo nómina,ADMIN Administrativo,Fecha vinculación,01/09/2010,Sec. vinculación,17,QUINC,Sec. detalle ,488,Centro,409 Bodega Materia Prima,Oficio,003 EMPLEADOS,Sec. plaza,490,Salario,1049262.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,65579.0,6.0,NORMA,+,EXTRA FESTIVA NOCTURNA,Total empleado,1036392072,Devengados, 342759.00,Deducciones, 0.00,Neto, 342759.00
Empleado,ba364f8bca70b8c20877179ab7a92ebb43aedb38cec8bab9991c2e274f1ffb95,7800df6dc0c7c80d93a11810996f7470b4217d2e7f8e84135bffffbea434abbd,Tipo nómina,ADMIN Administrativo,Fecha vinculación,01/09/2010,Sec. vinculación,17,QUINC,Sec. detalle ,488,Centro,409 Bodega Materia Prima,Oficio,003 EMPLEADOS,Sec. plaza,490,Salario,1049262.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,15302.0,2.0,NORMA,+,H.FEST.ORDIN.DIURNA,Total empleado,1036392072,Devengados, 342759.00,Deducciones, 0.00,Neto, 342759.00
Empleado,ba364f8bca70b8c20877179ab7a92ebb43aedb38cec8bab9991c2e274f1ffb95,7800df6dc0c7c80d93a11810996f7470b4217d2e7f8e84135bffffbea434abbd,Tipo nómina,ADMIN Administrativo,Fecha vinculación,01/09/2010,Sec. vinculación,17,QUINC,Sec. detalle ,488,Centro,409 Bodega Materia Prima,Oficio,003 EMPLEADOS,Sec. plaza,490,Salario,1049262.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,18362.0,2.0,NORMA,+,H.FEST.ORDIN.NOCTURN,Total empleado,1036392072,Devengados, 342759.00,Deducciones, 0.00,Neto, 342759.00
Empleado,ba364f8bca70b8c20877179ab7a92ebb43aedb38cec8bab9991c2e274f1ffb95,7800df6dc0c7c80d93a11810996f7470b4217d2e7f8e84135bffffbea434abbd,Tipo nómina,ADMIN Administrativo,Fecha vinculación,01/09/2010,Sec. vinculación,17,QUINC,Sec. detalle ,488,Centro,409 Bodega Materia Prima,Oficio,003 EMPLEADOS,Sec. plaza,490,Salario,1049262.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,117823.0,77.0,NORMA,+,RECARGO NOCTURNO,Total empleado,1036392072,Devengados, 342759.00,Deducciones, 0.00,Neto, 342759.00
Empleado,a5d1a3fa5b6c150595dcc90bb8e066fa7eb637b2802898bd25c97f36a2779a2f,489120d6602f1ab0fdde41bbf6a2a28cc43e8d4a56b23f1e3754c62f166022bc,Tipo nómina,OPERA Operativos,Fecha vinculación,27/01/2009,Sec. vinculación,18,QUINC,Sec. detalle ,404,Centro,401 Producción sólidos-MOD,Oficio,003 EMPLEADOS,Sec. plaza,406,Salario,1149087.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,35909.0,6.0,NORMA,+,EXTRAS DIURNAS,Total empleado,1036392299,Devengados, 307860.00,Deducciones, 0.00,Neto, 307860.00
Empleado,a5d1a3fa5b6c150595dcc90bb8e066fa7eb637b2802898bd25c97f36a2779a2f,489120d6602f1ab0fdde41bbf6a2a28cc43e8d4a56b23f1e3754c62f166022bc,Tipo nómina,OPERA Operativos,Fecha vinculación,27/01/2009,Sec. vinculación,18,QUINC,Sec. detalle ,404,Centro,401 Producción sólidos-MOD,Oficio,003 EMPLEADOS,Sec. plaza,406,Salario,1149087.0,Concepto,Horas,Tipo mvto,Valor,Concepto,Horas,Tipo mvto,Valor,8379.0,1.0,NORMA,+,EXTRA NOCTURNA,Total empleado,1036392299,Devengados, 307860.00,Deducciones, 0.00,Neto, 307860.00
